K,Num Rotations,Num Shifts,Num Shells,Num Sectors,Rotation Angle,Solver,Consensus NClass,Theta,Epsilon,Th_dist,Dist_max,NMI,Runtime
9,2,2,2,3,30,cspa,9,0.01,0.001,2,1000,0.7662714536742928,89.84114599227905
9,2,2,2,3,30,cspa,9,0.01,0.001,5,1000,0.5483202555766076,104.45346999168396
9,2,2,2,3,30,cspa,9,0.01,0.001,15,1000,0.3862907528764552,133.21419596672058
9,2,2,2,3,30,cspa,6,0.01,0.001,2,1000,0.6078469538821085,85.01454377174377
9,2,2,2,3,30,cspa,6,0.01,0.001,5,1000,0.6959409167126782,87.95588803291321
9,2,2,2,3,30,cspa,6,0.01,0.001,15,1000,0.41614833354577224,128.47194600105286
9,2,2,2,3,30,mcla,9,0.01,0.001,2,1000,0.5451959513016585,19.712040901184082
9,2,2,2,3,30,mcla,9,0.01,0.001,5,1000,0.5211751734936352,20.42969512939453
9,2,2,2,3,30,mcla,9,0.01,0.001,15,1000,0.41712132744404684,20.74982476234436
9,2,2,2,3,30,mcla,6,0.01,0.001,2,1000,0.7612040714984999,20.230448007583618
9,2,2,2,3,30,mcla,6,0.01,0.001,5,1000,0.474441830466945,19.99178695678711
9,2,2,2,3,30,mcla,6,0.01,0.001,15,1000,0.41469022500360747,19.230342149734497
9,2,2,2,3,30,hbgf,9,0.01,0.001,2,1000,0.7929706062227723,20.66655707359314
9,2,2,2,3,30,hbgf,9,0.01,0.001,5,1000,0.6045366751848642,20.139106035232544
9,2,2,2,3,30,hbgf,9,0.01,0.001,15,1000,0.3563078796699195,20.274715185165405
9,2,2,2,3,30,hbgf,6,0.01,0.001,2,1000,0.7352790073493974,20.107664108276367
9,2,2,2,3,30,hbgf,6,0.01,0.001,5,1000,0.4974306963487629,20.681949853897095
9,2,2,2,3,30,hbgf,6,0.01,0.001,15,1000,0.4660486399949723,20.10034203529358
9,2,2,2,3,30,nmf,9,0.01,0.001,2,1000,0.6688612120560999,30.37392807006836
9,2,2,2,3,30,nmf,9,0.01,0.001,5,1000,0.6703273432161039,28.144594192504883
9,2,2,2,3,30,nmf,9,0.01,0.001,15,1000,0.49059981220316523,32.61750674247742
9,2,2,2,3,30,nmf,6,0.01,0.001,2,1000,0.8369438479585227,25.771613121032715
9,2,2,2,3,30,nmf,6,0.01,0.001,5,1000,0.7353336087017451,28.214835166931152
9,2,2,2,3,30,nmf,6,0.01,0.001,15,1000,0.39574132736720785,30.53767204284668
9,2,2,4,3,30,cspa,9,0.01,0.001,2,1000,0.8059963687715453,84.13312411308289
9,2,2,4,3,30,cspa,9,0.01,0.001,5,1000,0.6575968966096086,101.37993884086609
9,2,2,4,3,30,cspa,9,0.01,0.001,15,1000,0.4805440903116547,129.63758397102356
9,2,2,4,3,30,cspa,6,0.01,0.001,2,1000,0.6851093842441635,85.06891393661499
9,2,2,4,3,30,cspa,6,0.01,0.001,5,1000,0.7394811994731512,94.76887392997742
9,2,2,4,3,30,cspa,6,0.01,0.001,15,1000,0.38569609568779023,130.82170605659485
9,2,2,4,3,30,mcla,9,0.01,0.001,2,1000,0.7030060614561559,18.570667028427124
9,2,2,4,3,30,mcla,9,0.01,0.001,5,1000,0.5300410295871713,18.566964149475098
9,2,2,4,3,30,mcla,9,0.01,0.001,15,1000,0.4719688144604337,19.05722212791443
9,2,2,4,3,30,mcla,6,0.01,0.001,2,1000,0.8588105519116908,18.712640047073364
9,2,2,4,3,30,mcla,6,0.01,0.001,5,1000,0.5479350323275266,18.50570321083069
9,2,2,4,3,30,mcla,6,0.01,0.001,15,1000,0.47733929761963245,18.331787109375
