Grid Size,Shift Vector,K,Solver,Consensus Nclass,Num Rotations,Rotation Angle,Num Shifts,Max Iter,Theta,Epsilon,Th_dist,Dist_max,Num Clusters,NMI,Runtime (s)
10,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,5.0,1000,9,0.5722991495949525,1.7862279415130615
10,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,10.0,1000,9,0.45046293900729434,1.763376235961914
10,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,25.0,1000,9,0.5332434527068586,1.877971887588501
10,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,,1000,9,0.5396466261659861,1.8699619770050049
10,"[3, 3, 3]",9,cspa,6,3,30,3,1000,0.01,0.001,5.0,1000,6,0.6050121792622055,1.8683819770812988
10,"[3, 3, 3]",9,cspa,6,3,30,3,1000,0.01,0.001,10.0,1000,6,0.4645088005309088,1.7854399681091309
10,"[3, 3, 3]",9,cspa,6,3,30,3,1000,0.01,0.001,25.0,1000,6,0.5540255193870359,1.911217212677002
10,"[3, 3, 3]",9,cspa,6,3,30,3,1000,0.01,0.001,,1000,6,0.5894335495438728,1.8514089584350586
10,"[3, 3, 3]",9,hgpa,9,3,30,3,1000,0.01,0.001,5.0,1000,9,0.45094131975804785,1.4206581115722656
10,"[3, 3, 3]",9,hgpa,9,3,30,3,1000,0.01,0.001,10.0,1000,9,0.4661336271303865,1.6007139682769775
10,"[3, 3, 3]",9,hgpa,9,3,30,3,1000,0.01,0.001,25.0,1000,9,0.4808868869702916,1.5678908824920654
10,"[3, 3, 3]",9,hgpa,9,3,30,3,1000,0.01,0.001,,1000,9,0.4469048889752571,1.7879278659820557
10,"[3, 3, 3]",9,hgpa,6,3,30,3,1000,0.01,0.001,5.0,1000,6,0.38896675725512114,1.6548309326171875
10,"[3, 3, 3]",9,hgpa,6,3,30,3,1000,0.01,0.001,10.0,1000,6,0.4358099596531632,1.5227859020233154
10,"[3, 3, 3]",9,hgpa,6,3,30,3,1000,0.01,0.001,25.0,1000,6,0.36077917917807206,1.681459903717041
10,"[3, 3, 3]",9,hgpa,6,3,30,3,1000,0.01,0.001,,1000,6,0.37177870926271056,1.5890140533447266
10,"[3, 3, 3]",9,mcla,9,3,30,3,1000,0.01,0.001,5.0,1000,9,0.4793582060832236,382.3175208568573
10,"[3, 3, 3]",9,mcla,9,3,30,3,1000,0.01,0.001,10.0,1000,9,0.488044606101879,383.2816319465637
10,"[3, 3, 3]",9,mcla,9,3,30,3,1000,0.01,0.001,25.0,1000,9,0.5094896133023173,378.0174868106842
10,"[3, 3, 3]",9,mcla,9,3,30,3,1000,0.01,0.001,,1000,9,0.5006565350119186,375.68589186668396
10,"[3, 3, 3]",9,mcla,6,3,30,3,1000,0.01,0.001,5.0,1000,6,0.4858668279988105,377.3963830471039
10,"[3, 3, 3]",9,mcla,6,3,30,3,1000,0.01,0.001,10.0,1000,6,0.45953240033455195,385.1665699481964
10,"[3, 3, 3]",9,mcla,6,3,30,3,1000,0.01,0.001,25.0,1000,6,0.49364867876091945,382.97479605674744
10,"[3, 3, 3]",9,mcla,6,3,30,3,1000,0.01,0.001,,1000,6,0.4314834473170328,375.3332259654999
10,"[3, 3, 3]",9,hbgf,9,3,30,3,1000,0.01,0.001,5.0,1000,9,0.5309449646087261,1.958669900894165
10,"[3, 3, 3]",9,hbgf,9,3,30,3,1000,0.01,0.001,10.0,1000,9,0.4816658993851895,1.969728946685791
10,"[3, 3, 3]",9,hbgf,9,3,30,3,1000,0.01,0.001,25.0,1000,9,0.5255735410372581,1.9038019180297852
10,"[3, 3, 3]",9,hbgf,9,3,30,3,1000,0.01,0.001,,1000,9,0.5795959626170988,1.9780409336090088
10,"[3, 3, 3]",9,hbgf,6,3,30,3,1000,0.01,0.001,5.0,1000,6,0.4552674265816845,1.899522066116333
10,"[3, 3, 3]",9,hbgf,6,3,30,3,1000,0.01,0.001,10.0,1000,6,0.4694450973422582,1.8970990180969238
10,"[3, 3, 3]",9,hbgf,6,3,30,3,1000,0.01,0.001,25.0,1000,6,0.48304620220128924,1.960737943649292
10,"[3, 3, 3]",9,hbgf,6,3,30,3,1000,0.01,0.001,,1000,6,0.5126939596062642,2.0092780590057373
10,"[3, 3, 3]",9,nmf,9,3,30,3,1000,0.01,0.001,5.0,1000,9,0.5050863924851186,1.2691950798034668
10,"[3, 3, 3]",9,nmf,9,3,30,3,1000,0.01,0.001,10.0,1000,9,0.4685429493168866,1.1579360961914062
10,"[3, 3, 3]",9,nmf,9,3,30,3,1000,0.01,0.001,25.0,1000,9,0.4632608966029311,1.257307767868042
10,"[3, 3, 3]",9,nmf,9,3,30,3,1000,0.01,0.001,,1000,9,0.5108821149886045,1.3449468612670898
10,"[3, 3, 3]",9,nmf,6,3,30,3,1000,0.01,0.001,5.0,1000,6,0.5625891066089029,1.2271819114685059
10,"[3, 3, 3]",9,nmf,6,3,30,3,1000,0.01,0.001,10.0,1000,6,0.4126695307596135,1.2552688121795654
10,"[3, 3, 3]",9,nmf,6,3,30,3,1000,0.01,0.001,25.0,1000,6,0.52094884044944,1.7653789520263672
10,"[3, 3, 3]",9,nmf,6,3,30,3,1000,0.01,0.001,,1000,6,0.4814311956481627,1.5649361610412598
