Grid Size,Shift Vector,K,Solver,Consensus Nclass,Num Rotations,Rotation Angle,Num Shifts,Max Iter,Theta,Epsilon,Th_dist,Dist_max,Num Clusters,NMI,Runtime (s)
10,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,5.0,1000,9,0.7091532572382134,6.70328688621521
10,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,10.0,1000,9,0.5112699451813019,6.015758037567139
10,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,25.0,1000,9,0.44574762586433175,6.0876569747924805
10,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,,1000,9,0.5887620917627288,6.368602991104126
10,"[3, 3, 3]",9,cspa,6,3,30,3,1000,0.01,0.001,5.0,1000,6,0.44968495873690406,6.527649164199829
10,"[3, 3, 3]",9,cspa,6,3,30,3,1000,0.01,0.001,10.0,1000,6,0.542699857431248,6.5783469676971436
10,"[3, 3, 3]",9,cspa,6,3,30,3,1000,0.01,0.001,25.0,1000,6,0.43645302189024976,5.924954891204834
10,"[3, 3, 3]",9,cspa,6,3,30,3,1000,0.01,0.001,,1000,6,0.5636633741271284,6.61565899848938
10,"[3, 3, 3]",9,hbgf,9,3,30,3,1000,0.01,0.001,5.0,1000,9,0.5749925764175849,11.140711069107056
10,"[3, 3, 3]",9,hbgf,9,3,30,3,1000,0.01,0.001,10.0,1000,9,0.5139508990829712,11.725202798843384
10,"[3, 3, 3]",9,hbgf,9,3,30,3,1000,0.01,0.001,25.0,1000,9,0.4665591857170642,11.342721939086914
10,"[3, 3, 3]",9,hbgf,9,3,30,3,1000,0.01,0.001,,1000,9,0.5068524441269182,11.5402250289917
10,"[3, 3, 3]",9,hbgf,6,3,30,3,1000,0.01,0.001,5.0,1000,6,0.578428987214438,11.557429075241089
10,"[3, 3, 3]",9,hbgf,6,3,30,3,1000,0.01,0.001,10.0,1000,6,0.54277308909098,11.44674825668335
10,"[3, 3, 3]",9,hbgf,6,3,30,3,1000,0.01,0.001,25.0,1000,6,0.5171481317788873,11.512810945510864
10,"[3, 3, 3]",9,hbgf,6,3,30,3,1000,0.01,0.001,,1000,6,0.538087846334658,11.516962766647339
10,"[3, 3, 3]",9,nmf,9,3,30,3,1000,0.01,0.001,5.0,1000,9,0.6415554492640504,3.7388250827789307
10,"[3, 3, 3]",9,nmf,9,3,30,3,1000,0.01,0.001,10.0,1000,9,0.5070729181825925,3.6370739936828613
10,"[3, 3, 3]",9,nmf,9,3,30,3,1000,0.01,0.001,25.0,1000,9,0.4776255309577941,3.5386099815368652
10,"[3, 3, 3]",9,nmf,9,3,30,3,1000,0.01,0.001,,1000,9,0.5185840191669141,3.5243258476257324
10,"[3, 3, 3]",9,nmf,6,3,30,3,1000,0.01,0.001,5.0,1000,6,0.5583699823950088,3.4177818298339844
10,"[3, 3, 3]",9,nmf,6,3,30,3,1000,0.01,0.001,10.0,1000,6,0.40794824141313607,3.2879638671875
10,"[3, 3, 3]",9,nmf,6,3,30,3,1000,0.01,0.001,25.0,1000,6,0.5129199277995775,3.296631097793579
10,"[3, 3, 3]",9,nmf,6,3,30,3,1000,0.01,0.001,,1000,6,0.5422991731737612,3.358721971511841
